Date,Cash Rate Target
2006-02,5.5
2006-03,5.5
2006-04,5.5
2006-05,5.75
2006-06,5.75
2006-07,5.75
2006-08,6.0
2006-09,6.0
2006-10,6.0
2006-11,6.25
2006-12,6.25
2007-02,6.25
2007-03,6.25
2007-04,6.25
2007-05,6.25
2007-06,6.25
2007-07,6.25
2007-08,6.5
2007-09,6.5
2007-10,6.5
2007-11,6.75
2007-12,6.75
2008-02,7.0
2008-03,7.25
2008-04,7.25
2008-05,7.25
2008-06,7.25
2008-07,7.25
2008-08,7.25
2008-09,7.0
2008-10,6.0
2008-11,5.25
2008-12,4.25
2009-02,3.25
2009-03,3.25
2009-04,3.0
2009-05,3.0
2009-06,3.0
2009-07,3.0
2009-08,3.0
2009-09,3.0
2009-10,3.25
2009-11,3.5
2009-12,3.75
2010-02,3.75
2010-03,4.0
2010-04,4.25
2010-05,4.5
2010-06,4.5
2010-07,4.5
2010-08,4.5
2010-09,4.5
2010-10,4.5
2010-11,4.75
2010-12,4.75
2011-02,4.75
2011-03,4.75
2011-04,4.75
2011-05,4.75
2011-06,4.75
2011-07,4.75
2011-08,4.75
2011-09,4.75
2011-10,4.75
2011-11,4.5
2011-12,4.25
2012-02,4.25
2012-03,4.25
2012-04,4.25
2012-05,3.75
2012-06,3.5
2012-07,3.5
2012-08,3.5
2012-09,3.5
2012-10,3.25
2012-11,3.25
2012-12,3.0
2013-02,3.0
2013-03,3.0
2013-04,3.0
2013-05,2.75
2013-06,2.75
2013-07,2.75
2013-08,2.5
2013-09,2.5
2013-10,2.5
2013-11,2.5
2013-12,2.5
2014-02,2.5
2014-03,2.5
2014-04,2.5
2014-05,2.5
2014-06,2.5
2014-07,2.5
2014-08,2.5
2014-09,2.5
2014-10,2.5
2014-11,2.5
2014-12,2.5
2015-02,2.25
2015-03,2.25
2015-04,2.25
2015-05,2.0
2015-06,2.0
2015-07,2.0
2015-08,2.0
2015-09,2.0
2015-10,2.0
2015-11,2.0
2015-12,2.0
2016-02,2.0
2016-03,2.0
2016-04,2.0
2016-05,1.75
2016-06,1.75
2016-07,1.75
2016-08,1.5
2016-09,1.5
2016-10,1.5
2016-11,1.5
2016-12,1.5
2017-02,1.5
2017-03,1.5
2017-04,1.5
2017-05,1.5
2017-06,1.5
2017-07,1.5
2017-08,1.5
2017-09,1.5
2017-10,1.5
2017-11,1.5
2017-12,1.5
2018-02,1.5
2018-03,1.5
2018-04,1.5
2018-05,1.5
2018-06,1.5
2018-07,1.5
2018-08,1.5
2018-09,1.5
2018-10,1.5
2018-11,1.5
2018-12,1.5
2019-02,1.5
2019-03,1.5
2019-04,1.5
2019-05,1.5
2019-06,1.25
2019-07,1.0
2019-08,1.0
2019-09,1.0
2019-10,0.75
2019-11,0.75
2019-12,0.75
2020-02,0.75
2020-03,0.5
2020-03,0.25
2020-04,0.25
2020-05,0.25
2020-06,0.25
2020-07,0.25
2020-08,0.25
2020-09,0.25
2020-10,0.25
2020-11,0.1
2020-12,0.1
2021-02,0.1
2021-03,0.1
2021-04,0.1
2021-05,0.1
2021-06,0.1
2021-07,0.1
2021-08,0.1
2021-09,0.1
2021-10,0.1
2021-11,0.1
2021-12,0.1
2022-02,0.1
2022-03,0.1
2022-04,0.1
2022-05,0.35
